                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.446,                 2.1526,                 2.0382,                0.77713,                0.84016,                0.83763,                0.59396,                 1.0671,                 1.4751,                  2.029,             0.00065476,             0.00065476,             0.00065476
                      2,                 1.2306,                 1.2229,                 2.0023,                0.75254,                 0.8226,                 0.8414,                0.60907,                 1.0707,                 1.3042,                  2.028,              0.0012887,              0.0012887,              0.0012887
                      3,                 1.2785,                 1.1468,                 2.0245,                0.72778,                0.78279,                0.81892,                0.55855,                 1.1437,                 1.0755,                   2.09,              0.0018897,              0.0018897,              0.0018897
                      4,                 1.2286,                 1.0496,                 2.0044,                0.81736,                0.81148,                  0.884,                0.62304,                 1.1289,                0.89855,                 2.1648,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.1924,                 1.0055,                   2.03,                0.75634,                0.89052,                0.87525,                0.64207,                 1.0516,                0.96064,                 2.0919,               0.001802,               0.001802,               0.001802
                      6,                 1.1876,                0.98393,                 2.0036,                0.78057,                0.88115,                0.88776,                 0.6424,                0.99853,                 0.8047,                 2.1433,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.1991,                0.94842,                 2.0159,                0.78877,                0.88763,                0.91221,                0.67027,                0.99599,                0.81355,                 1.9356,               0.001703,               0.001703,               0.001703
                      8,                 1.1594,                0.92891,                  1.932,                0.74338,                0.85481,                0.84488,                0.60743,                 1.0069,                 1.2191,                 1.9226,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.1177,                0.89755,                 1.9675,                0.77705,                0.91416,                0.90277,                0.68759,                 0.9696,                0.80615,                  1.964,               0.001604,               0.001604,               0.001604
                     10,                 1.1101,                0.87659,                 1.9332,                 0.8507,                0.91073,                0.93037,                0.72136,                0.93054,                 0.7185,                 1.8845,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.0644,                  0.858,                 1.8699,                0.85615,                0.88525,                0.92394,                0.71465,                0.91422,                0.71837,                 1.8594,               0.001505,               0.001505,               0.001505
                     12,                 1.0876,                0.84152,                 1.8855,                0.86274,                0.87585,                0.92876,                0.70864,                0.94449,                0.69792,                 2.0099,              0.0014555,              0.0014555,              0.0014555
